,Grand_Parent_Folder,File_name,GT_Label,Prediction_Label,IoU,f1_score
31,OG,pos5_fr_40.tif,2,2,0.3487011316872428,0.5170917759237187
32,OG,pos5_fr_40.tif,ALL,ALL,0.5455301487879103,0.6846114090222002
33,OG,pos5_fr_20.tif,1,1,0.7006754354781373,0.8239966555183946
34,OG,pos5_fr_20.tif,2,2,0.333628710677891,0.5003322259136213
35,OG,pos5_fr_20.tif,ALL,ALL,0.5171520730780141,0.6621644407160079
36,OG,pos7_fr_40.tif,1,1,0.756707294064375,0.8615064064698364
37,OG,pos7_fr_40.tif,2,2,0.37607847772130953,0.5465945203126342
38,OG,pos7_fr_40.tif,ALL,ALL,0.5663928858928422,0.7040504633912353
39,OG,pos5_fr_60.tif,1,1,0.6362093284563342,0.7776625122368171
40,OG,pos5_fr_60.tif,2,2,0.3292128217477391,0.4953500543500141
41,OG,pos5_fr_60.tif,ALL,ALL,0.4827110751020366,0.6365062832934156
42,OG,pos7_fr_20.tif,1,1,0.7710410079409138,0.8707206716092455
43,OG,pos7_fr_20.tif,2,2,0.38548021174691205,0.5564571886030348
44,OG,pos7_fr_20.tif,ALL,ALL,0.5782606098439129,0.7135889301061402
45,downsampling_2,pos7_fr_80.tif,1,1,0.62805455051489,0.7715399343544858
46,downsampling_2,pos7_fr_80.tif,2,2,0.45375864133688965,0.6242558130827124
47,downsampling_2,pos7_fr_80.tif,ALL,ALL,0.5409065959258899,0.697897873718599
48,downsampling_2,pos2_fr_80.tif,1,1,0.6444252656561843,0.7837695991602703
49,downsampling_2,pos2_fr_80.tif,2,2,0.4343423633568361,0.6056327616794795
50,downsampling_2,pos2_fr_80.tif,ALL,ALL,0.5393838145065102,0.6947011804198749
51,downsampling_2,pos5_fr_1.tif,1,1,0.6426605504587156,0.7824629991622452
52,downsampling_2,pos5_fr_1.tif,2,2,0.4080472834735167,0.5795931546658056
53,downsampling_2,pos5_fr_1.tif,ALL,ALL,0.5253539169661161,0.6810280769140253
54,downsampling_2,pos2_fr_60.tif,1,1,0.6538380945728853,0.7906917814004562
55,downsampling_2,pos2_fr_60.tif,2,2,0.4239666027922256,0.5954726774643149
56,downsampling_2,pos2_fr_60.tif,ALL,ALL,0.5389023486825555,0.6930822294323855
