,Grand_Parent_Folder,File_name,GT_Label,Prediction_Label,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness
35,downsampling_2,pos5_fr_1.tif,2,0,0.044072278536800354,0.0,0.0,0.0,2.0,2.8284271247461903,2.008020080364855,2.0,2269,6515,2322.482322781408,0.005286150525269644,0.348273215656178,,,,,,,,,
36,downsampling_2,pos2_fr_60.tif,1,1,0.0071700007170000715,0.01031778786628147,0.6556240369799692,0.7919962773382969,2.0,8.246211251235321,5.070720387982231,5.656854249492381,13947,13953,6330.652521490607,0.00437314333311299,0.9995699849494732,2.0,6.0,3.9449154483909723,4.0,9692.0,9692.0,5705.028063085467,0.003742033743266752,1.0
37,downsampling_2,pos2_fr_60.tif,2,0,0.014300014300014301,0.0,0.0,0.0,2.0,2.8284271247461903,2.0141561060832385,2.0,6993,21110,7005.458295101267,0.0017906070427670727,0.3312648034107058,,,,,,,,,
38,downsampling_2,pos2_fr_1.tif,1,1,0.01487652484379649,0.02,0.7030364666569809,0.8256270261047602,2.0,7.211102550927978,5.26915433300906,5.656854249492381,6722,6722,3030.242999624618,0.009199271975897419,1.0,2.0,6.0,4.2615052287897,4.0,5000.0,5000.0,2748.4013331705255,0.008318012473601701,1.0
39,downsampling_2,pos2_fr_1.tif,2,0,0.028686173264486515,0.0,0.0,0.0,2.0,2.8284271247461903,2.003549134415193,2.0,3486,10138,3652.823555959612,0.0032830678423243598,0.3438548037088183,,,,,,,,,
40,downsampling_2,pos7_fr_1.tif,1,1,0.014692918013517485,0.020088388911209322,0.70412147505423,0.8263747454175153,2.0,7.211102550927978,5.239537808418556,5.656854249492381,6806,6806,3077.5211742176693,0.009030248661198531,1.0,2.0,6.0,4.240593878871153,4.0,4978.0,4978.0,2731.08152801713,0.008386783393472208,1.0
41,downsampling_2,pos7_fr_1.tif,2,0,0.027300027300027303,0.0,0.0,0.0,2.0,2.8284271247461903,2.014216840181558,2.0,3663,10375,3753.1717523440034,0.0032677581361953913,0.3530602409638554,,,,,,,,,
42,downsampling_2,pos5_fr_80.tif,1,1,0.008615490652192644,0.013650013650013651,0.6027258105477017,0.7521259177098188,2.0,8.0,4.929444773950288,5.656854249492381,11607,11608,5394.429037318494,0.005012321037640355,0.9999138525155066,2.0,6.0,3.764651475678388,4.0,7326.0,7326.0,4507.4481938335,0.004531221481753891,1.0
43,downsampling_2,pos5_fr_80.tif,2,0,0.016564518800728838,0.0,0.0,0.0,2.0,2.8284271247461903,2.0385832606240952,2.0,6037,17340,5813.631780548825,0.0022445846950211244,0.3481545559400231,,,,,,,,,
44,downsampling_2,pos2_fr_20.tif,1,1,0.011224604332697273,0.016278691193228063,0.6610019863164864,0.7959075205952697,2.0,8.0,5.449409554342379,6.0,8909,8913,3844.139535968399,0.007576009944009228,0.9995512173230113,2.0,6.0,4.171863235346946,4.0,6143.0,6143.0,3418.574998086832,0.006605415712889657,1.0
