,Grand_Parent_Folder,File_name,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness,GT_count,pred_count,true_positives_count,false_negatives_count,false_positives_count,Sensitivity,Accuracy
14,downsampling_16,11.tif,15.302931273519507,13.572284469343291,0.7697278864925924,0.8305821887347585,2.1705585256830395,2.460436293998207,2.314553847217162,2.312666721970239,7.305882352941176,7.305882352941176,6.838722516734098,inf,1.0,2.131835714475738,2.4012841143971384,2.2583944141029186,2.243399586217728,7.109677419354838,7.109677419354838,6.703036274654152,inf,1.0,510,491,340,23,27,0.9366391184573003,0.8717948717948718
15,downsampling_16,12.tif,14.612748628044994,13.123022080957071,0.7612213418618772,0.8242304803009172,2.194943424181314,2.5164840703594513,2.3552889076450434,2.3544392283943654,7.305927342256214,7.305927342256214,6.90560369890688,inf,1.0,2.0872028552364412,2.3743738117325663,2.21894541815854,2.1965676303351582,7.212631578947368,7.212631578947368,6.766104577695497,2.007604676149197,1.0,523,489,475,34,14,0.9332023575638507,0.9082217973231358
16,downsampling_16,13.tif,15.871425626527666,14.168772270813086,0.7726761786965869,0.8353267295315694,2.146798008630995,2.452759075899201,2.2989815539145853,2.2973875772135597,7.204081632653061,7.204081632653061,6.732995403531931,inf,1.0,2.0883655599729267,2.3034407554653122,2.1873120616106405,2.1701298693936826,6.915555555555556,6.915555555555556,6.54123440585406,inf,1.0,245,237,225,8,12,0.9656652360515021,0.9183673469387755
17,downsampling_16,14.tif,15.998164907591892,14.060608727891537,0.7469335501220898,0.8132357865872227,2.199067516112763,2.493029847598214,2.3474123315385422,2.35013963090465,7.072088724584104,7.072088724584104,6.669456444410553,inf,1.0,2.1168946249641865,2.421519576725627,2.2632182051335183,2.2500889692504122,6.81799591002045,6.81799591002045,6.496233291899322,inf,1.0,541,522,462,21,34,0.9565217391304348,0.8936170212765957
18,downsampling_16,14b.tif,27.854623330813805,17.412446460065507,0.5718946837994456,0.6149617284537919,2.043832123002444,2.202691311455563,2.1203395756955072,2.1144952926285145,3.9153439153439153,3.9153439153439153,4.007429165579929,inf,1.0,2.012944173824159,2.1100254775053533,2.060406144512743,2.0582487822087163,4.03125,4.03125,4.11492717280199,inf,1.0,189,154,128,28,26,0.8205128205128205,0.7032967032967034
19,downsampling_16,15.tif,29.137529137529132,17.023809523809526,0.556918081918082,0.5954489954489954,2.0463455734123746,2.176898353540431,2.1111391970866906,2.110173664307266,3.8286713286713288,3.8286713286713288,3.8788508197411553,inf,1.0,2.026723455636974,2.1247094596392113,2.074231821213816,2.071262548365264,4.166666666666667,4.166666666666667,4.151083607978037,inf,1.0,286,224,186,28,38,0.8691588785046729,0.7380952380952381
20,downsampling_16,16.tif,27.91684649690692,14.65796288303841,0.46368148467846354,0.5095568412788957,2.0500560196221262,2.161783523993358,2.1025893228758537,2.0959284250120764,3.9274924471299095,3.9274924471299095,3.9541186562631303,inf,1.0,2.0086746295784943,2.1518060176236475,2.0780716662064473,2.0737343514172,4.2408376963350785,4.2408376963350785,4.262343705436256,inf,1.0,331,252,191,30,61,0.8642533936651584,0.6773049645390071
21,downsampling_16,18.tif,28.714347718253965,14.516369047619046,0.45412326388888885,0.49909806628556624,2.0418834925017846,2.1631850125364833,2.1003825956922078,2.096079282038355,3.7916666666666665,3.7916666666666665,3.792198302573844,inf,1.0,2.038176365195677,2.175611279900114,2.1059394134180036,2.1049850042881117,4.202764976958525,4.202764976958525,4.144008218258321,inf,1.0,384,286,217,38,69,0.8509803921568627,0.6697530864197531
22,downsampling_16,8.tif,15.387276122570238,13.231403672580141,0.7288411660960681,0.797000375970509,2.204824151089048,2.5415826844441027,2.373886878548677,2.375253800112881,7.620915032679738,7.620915032679738,7.098404679151734,inf,1.0,2.1157361424277763,2.4167366928915337,2.2566788320307047,2.237563660772804,7.044117647058823,7.044117647058823,6.672133889331001,2.0211527475256723,1.0,153,146,136,8,10,0.9444444444444444,0.8831168831168831
23,downsampling_16,9.tif,30.34523809523809,17.01190476190476,0.4962585034013606,0.5357936507936507,2.0355040196319796,2.1124293955012683,2.071994262031514,2.068049370961294,3.6857142857142855,3.6857142857142855,3.5280712729190076,inf,1.0,2.009981049695737,2.039924198782949,2.02328911595672,2.019962099391474,3.7590361445783134,3.7590361445783134,3.5867287326486146,inf,1.0,140,113,83,20,30,0.8058252427184466,0.6240601503759399
