Grand_Parent_Folder,File_name,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness,GT_count,pred_count,true_positives_count,false_negatives_count,false_positives_count,Sensitivity,Accuracy,Dimensions
downsampling_2,18.tif,0.4366929600815286,0.3903091248047271,0.8665158727608567,0.922158205667925,14.544486716645366,16.023820978452417,15.382624355296205,15.493680494488714,240.5578406169666,240.5578406169666,55.193837070035315,0.9822165669977492,1.0,14.84013072521273,16.959574619445142,16.043668933829185,16.19615006839999,259.2213541666667,259.2213541666667,57.8001856066948,0.9705109267329592,1.0,389,384,193,5,1,0.9747474747474748,0.9698492462311558,"[1215, 1215]"
downsampling_2,9.tif,0.4745252188254031,0.3883096722710931,0.8479110548013794,0.9050760138084156,13.763775057397485,15.543291111294325,14.772653698206192,14.917458035638996,232.74825174825176,232.74825174825176,54.29823531696134,0.9752344292799184,1.0,15.08521894785539,16.963741823654953,16.14376715157933,16.258748774727948,256.3021582733813,256.3021582733813,57.345219899088825,0.9746941744489296,1.0,143,139,139,4,0,0.972027972027972,0.972027972027972,"[1215, 1215]"
downsampling_4,10.tif,1.7693974714413103,1.6159744641039842,0.843646891753067,0.9003832670219881,6.6210864402853575,8.13488193898634,7.430703688140412,7.487126141417566,62.14246575342466,62.14246575342466,26.53324831913809,1.128633310810781,1.0,6.407185109887079,8.116469953516967,7.33274673144504,7.422180988993928,61.08498583569405,61.08498583569405,26.729701901442123,1.0717301906115624,1.0,365,353,353,10,0,0.9724517906336088,0.9724517906336088,"[607, 607]"
downsampling_4,14b.tif,1.741452885855966,1.6623380975138635,0.8225487467436788,0.8818547763031722,7.014158110425031,8.202564619235572,7.637907797293725,7.680453113132237,61.79057591623037,61.79057591623037,26.48001479211469,1.096303620630962,1.0,6.172145022567786,7.870483242699812,7.090975428662644,7.158389168286682,58.582417582417584,58.582417582417584,26.325578969242788,1.059248089199844,1.0,191,182,182,9,0,0.9528795811518324,0.9528795811518324,"[607, 607]"
downsampling_4,15.tif,1.756038401945811,1.6244610914017656,0.8282476903546805,0.8817747499603111,6.611510626189854,8.02370381685644,7.375596332753212,7.44755069421813,61.27586206896552,61.27586206896552,26.42893353202924,1.090617660163973,1.0,6.207714978612391,7.926030415242067,7.145883072347288,7.247267426002811,59.71897810218978,59.71897810218978,26.496905431440577,1.0644179179205184,1.0,290,274,274,13,0,0.9547038327526132,0.9547038327526132,"[607, 607]"
downsampling_4,16.tif,1.7713941716326511,1.6276484243857916,0.7997774700064962,0.8617738004477443,6.68272825299679,8.155557184221362,7.4805570667694,7.572883891469543,62.39820359281437,62.39820359281437,26.55732699715444,1.1336129551568757,1.0,6.276789709124172,7.897689914520602,7.137566104007264,7.2251924011154784,58.94888178913738,58.94888178913738,26.316507714126928,1.0655777555120896,1.0,334,312,270,17,0,0.940766550522648,0.940766550522648,"[607, 607]"
downsampling_4,18.tif,1.7526943696806887,1.6623015249593875,0.8550722448352044,0.9099251838053178,6.78400089589789,8.062677830048614,7.45891794902836,7.5077666065055375,60.239074550128535,60.239074550128535,26.097864231443523,1.101973357388592,1.0,6.261808147709684,8.042944180985684,7.210569563342374,7.28155440573493,59.934036939313984,59.934036939313984,26.542196450768188,1.066685858848864,1.0,389,378,189,8,0,0.9593908629441624,0.9593908629441624,"[607, 607]"
downsampling_4,9.tif,2.0018191317643557,1.6943018699609418,0.8414108446570581,0.9012882091638416,6.432899004326649,7.838199145042701,7.187264921352671,7.262524741756833,58.23076923076923,58.23076923076923,25.559457699150713,1.180706455743891,1.0,6.347374659223261,7.99833621652593,7.226556560333846,7.303914334912237,58.51798561151079,58.51798561151079,26.125248358748117,1.0748874485942046,1.0,143,139,139,4,0,0.972027972027972,0.972027972027972,"[607, 607]"
downsampling_8,10.tif,7.055910982196577,6.346094065482758,0.7628640818451512,0.8360690282592609,2.984744520449644,4.188149957354372,3.622986574138382,3.705144074123946,15.46978021978022,15.46978021978022,11.601362223243829,inf,1.0,2.6268795055347813,4.048799154590205,3.3445262718336912,3.3727128223991945,15.129793510324484,15.132743362831858,11.73648483916013,1.3885589990500615,0.999836119305146,364,341,339,19,2,0.946927374301676,0.9416666666666668,"[303, 303]"
downsampling_8,14b.tif,7.231835079823965,6.068701564673379,0.7717310794624285,0.8439650875392204,3.003579713358873,4.178574499080545,3.634563880112677,3.726922372272641,15.366492146596858,15.366492146596858,11.519973476378327,inf,1.0,2.617152132593079,4.1852705978651965,3.398851061650407,3.4295167786836447,15.865921787709498,15.871508379888269,12.165284725733946,1.3559598920700666,0.9996275605214152,191,178,56,12,0,0.8235294117647058,0.8235294117647058,"[303, 303]"
